"","Code.INSEE","Commune","Population.totale","Département","Région","Densité.d.habitants..hab.km2."
"1253",77020,"Bannost-Villegagnon",649,"SEINE-ET-MARNE","ILE-DE-FRANCE",33.4363730036
"1254",77172,"Esmans",889,"SEINE-ET-MARNE","ILE-DE-FRANCE",49.8597868761
"1255",91204,"Écharcon",807,"ESSONNE","ILE-DE-FRANCE",116.787264834
"1256",77208,"Gouaix",1446,"SEINE-ET-MARNE","ILE-DE-FRANCE",102.407932011
"1257",78474,"Orvilliers",702,"YVELINES","ILE-DE-FRANCE",117.785234899
"1258",94018,"Charenton-le-Pont",29562,"VAL-DE-MARNE","ILE-DE-FRANCE",16066.3043478
"1259",91122,"Bures-sur-Yvette",9676,"ESSONNE","ILE-DE-FRANCE",2145.45454545
"1260",95054,"Le Bellay-en-Vexin",248,"VAL-D'OISE","ILE-DE-FRANCE",48.0620155039
"1261",95169,"Commeny",384,"VAL-D'OISE","ILE-DE-FRANCE",80.6722689076
"1262",77136,"Courquetaine",201,"SEINE-ET-MARNE","ILE-DE-FRANCE",25.6704980843
"1263",78143,"Châteaufort",1415,"YVELINES","ILE-DE-FRANCE",287.018255578
"1264",78366,"Mareil-le-Guyon",385,"YVELINES","ILE-DE-FRANCE",93.9024390244
"1265",77471,"Tousson",362,"SEINE-ET-MARNE","ILE-DE-FRANCE",27.2795779955
"1266",91109,"Brières-les-Scellés",1070,"ESSONNE","ILE-DE-FRANCE",124.563445867
"1267",91216,"Épinay-sur-Orge",10349,"ESSONNE","ILE-DE-FRANCE",2357.40318907
"1268",78621,"Trappes",29563,"YVELINES","ILE-DE-FRANCE",2157.88321168
"1269",78644,"La Verrière",5924,"YVELINES","ILE-DE-FRANCE",2807.58293839
"1270",77319,"Mortery",171,"SEINE-ET-MARNE","ILE-DE-FRANCE",12.9643669447
"1271",91374,"Marolles-en-Beauce",212,"ESSONNE","ILE-DE-FRANCE",35.3333333333
"1272",78053,"Béhoust",482,"YVELINES","ILE-DE-FRANCE",88.4403669725
"1273",95660,"Villaines-sous-Bois",682,"VAL-D'OISE","ILE-DE-FRANCE",357.068062827
"1274",77145,"Crisenoy",624,"SEINE-ET-MARNE","ILE-DE-FRANCE",48.3720930233
"1275",93051,"Noisy-le-Grand",62970,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",4825.28735632
"1276",95002,"Ableiges",933,"VAL-D'OISE","ILE-DE-FRANCE",117.803030303
"1277",77047,"Bouleurs",1453,"SEINE-ET-MARNE","ILE-DE-FRANCE",178.282208589
